participant_id	Sex
sub-9001	Male
sub-9002	Male
sub-9003	Male
sub-9004	Female
sub-9005	Male
sub-9007	Male
sub-9008	Male
sub-9009	Female
sub-9011	Female
sub-9012	Male
sub-9013	Male
sub-9014	Male
sub-9016	Male
sub-9017	Male
sub-9018	Female
sub-9019	Female
sub-9020	Female
sub-9022	Female
sub-9023	Male
sub-9025	Female
sub-9026	Female
sub-9028	Male
sub-9029	Female
sub-9032	Female
sub-9033	Male
sub-9034	Female
sub-9035	Male
sub-9036	Male
sub-9037	Male
sub-9038	Female
sub-9039	Male
sub-9040	Female
sub-9041	Female
sub-9042	Female
sub-9044	Male
sub-9045	Female
sub-9046	Male
sub-9047	Female
sub-9048	Male
sub-9049	Female
sub-9050	Female
sub-9053	Female
sub-9054	Male
sub-9055	Male
sub-9056	Male
sub-9057	Female
sub-9058	Female
sub-9059	Female
sub-9061	Female
sub-9062	Female
sub-9063	Male
sub-9064	Female
sub-9065	Male
sub-9066	Female
sub-9067	Female
sub-9068	Male
sub-9069	Female
sub-9070	Female
sub-9071	Female
sub-9072	Female
sub-9073	Male
sub-9074	Female
sub-9075	Male
sub-9076	Male
sub-9077	Female
sub-9078	Female
sub-9079	Male
sub-9080	Male
sub-9081	Male
sub-9082	Female
sub-9083	Male
sub-9084	Female
sub-9085	Female
sub-9086	Female
sub-9087	Male
sub-9088	Female
sub-9089	Male
sub-9090	Male
sub-9091	Male
sub-9092	Male
sub-9093	Male
sub-9094	Female
sub-9095	Male
sub-9096	Female
sub-9098	Female
sub-9100	Male
